Date Time,Temperature,Basel Relative Humidity,Basel Wind Speed [10 m]
20090101T0000,3.2805285,86,9.824346
20090101T0100,2.1105285,86,13.330651
20090101T0200,1.2805287,88,13.078042
20090101T0300,1.5305287,87,14.058752
20090101T0400,0.54052866,90,12.963585
20090101T0500,-0.44947132,89,14.584031
20090101T0600,2.5905285,96,1.9394212
20090101T0700,2.5505285,96,1.9394212
20090101T0800,2.4705286,96,1.6848617
20090101T0900,2.4105287,96,1.6848617
20090101T1000,2.6205285,94,1.6204481
20090101T1100,3.1405284,91,1.332
20090101T1200,3.6905286,89,1.332
20090101T1300,4.3005285,87,1.332
20090101T1400,6.2305284,66,0.2664
20090101T1500,6.3405285,66,0.3767465
20090101T1600,5.0005283,73,1.191377
20090101T1700,3.8505285,78,2.742756
20090101T1800,2.7105286,84,3.700947
20090101T1900,2.1105285,89,4.212154
20090101T2000,1.6205287,92,4.3692846
20090101T2100,1.2505287,95,4.161301
20090101T2200,0.98052865,98,3.7862556
20090101T2300,0.7705287,99,3.6234317
20090102T0000,0.68052864,100,3.4734309
20090102T0100,0.79052866,97,3.3379824
20090102T0200,0.8905287,96,3.118132
20090102T0300,1.1705287,95,3.0374272
20090102T0400,0.98052865,95,3.0374272
20090102T0500,0.90052867,95,2.8692157
20090102T0600,-0.44947132,90,2.8815567
20090102T0700,-0.68947136,92,3.1968002
20090102T0800,-1.0594714,93,5.3545737
20090102T0900,-1.4094714,93,7.463956
20090102T1000,-1.8894713,91,7.3150935
20090102T1100,-1.6194713,86,6.236264
20090102T1200,-0.9294713,80,6.828368
20090102T1300,-0.10947134,74,7.2468624
20090102T1400,0.74052864,68,6.791894
20090102T1500,1.3305286,66,5.956885
20090102T1600,1.8105286,65,4.295571
20090102T1700,2.0105286,66,4.3038235
20090102T1800,1.9005287,68,7.329631
20090102T1900,2.4105287,66,8.677445
20090102T2000,0.92052865,65,13.142999
20090102T2100,-0.93947136,71,12.061772
20090102T2200,-1.1494713,62,13.151097
20090102T2300,-1.2494713,68,16.2853
20090103T0000,-1.5494714,69,22.986168
20090103T0100,-1.7994714,70,23.182922
20090103T0200,-1.9894713,69,22.383942
20090103T0300,-2.1694715,68,18.961243
20090103T0400,-2.4994714,67,14.020842
20090103T0500,-2.8994715,65,10.252074
20090103T0600,-3.6594715,65,7.033162
20090103T0700,-3.7294714,67,6.0865254
20090103T0800,-3.9194715,67,5.4919763
20090103T0900,-4.3094716,69,4.295571
20090103T1000,-4.6594715,76,3.013972
20090103T1100,-2.9494715,67,5.394189
20090103T1200,-0.65947133,48,8.2066765
20090103T1300,0.8305287,42,8.512303
20090103T1400,1.8405286,41,6.415762
20090103T1500,2.1805286,45,4.802594
20090103T1600,1.6105287,54,4.4337797
20090103T1700,0.7105287,63,6.415762
20090103T1800,0.020528657,66,6.723632
20090103T1900,-1.2094713,73,3.767465
20090103T2000,-2.3394713,80,1.8648
20090103T2100,-3.0794713,84,2.8318708
20090103T2200,-3.5594714,86,3.767465
20090103T2300,-4.0194716,86,3.118132
20090104T0000,-4.4994717,88,2.1477854
20090104T0100,-4.7994714,89,1.9394212
